epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.0701,3.55655,5.75868,4.26396,0,0,0,0,3.4634,5.74454,4.1587,8.33e-06,8.33e-06,8.33e-06
2,108.201,3.55654,5.71672,4.25985,0,0,0,0,3.46311,5.74513,4.15853,1.76733e-05,1.76733e-05,1.76733e-05
3,159.254,3.54583,5.7408,4.26443,0,0,0,0,3.46262,5.74577,4.15844,2.68281e-05,2.68281e-05,2.68281e-05
4,212.043,3.53063,5.72958,4.25268,0,0,0,0,3.46235,5.74645,4.15844,3.57944e-05,3.57944e-05,3.57944e-05
5,265.589,3.53089,5.68785,4.24268,0,0,0,0,3.46176,5.74705,4.15861,4.45722e-05,4.45722e-05,4.45722e-05
6,314.984,3.5066,5.6905,4.23149,0,0,0,0,3.46032,5.74839,4.15895,5.31615e-05,5.31615e-05,5.31615e-05
7,370.031,3.62533,5.72042,4.21839,0,0,0,0,3.45902,5.74858,4.15932,6.15623e-05,6.15623e-05,6.15623e-05
8,421.613,3.55446,5.71418,4.22123,0,0,0,0,3.45803,5.74968,4.16002,6.97746e-05,6.97746e-05,6.97746e-05
9,473.178,3.58845,5.70688,4.20278,0,0,0,0,3.45637,5.75132,4.16129,7.77984e-05,7.77984e-05,7.77984e-05
10,524.914,3.57613,5.72709,4.20408,0,0,0,0,3.45452,5.75239,4.16225,8.56337e-05,8.56337e-05,8.56337e-05
11,576.51,3.68598,5.7005,4.19006,0,0,0,0,3.45272,5.75378,4.1643,9.32805e-05,9.32805e-05,9.32805e-05
12,627.69,3.56992,5.73542,4.18794,0,0,0,0,3.45123,5.7545,4.16634,0.000100739,0.000100739,0.000100739
13,678.841,3.58474,5.66631,4.1759,0,0,0,0,3.44988,5.75544,4.16829,0.000104863,0.000104863,0.000104863
14,728.236,3.44177,5.69978,4.16357,0,0,0,0,3.44867,5.75592,4.16982,0.000103685,0.000103685,0.000103685
15,778.557,3.59014,5.67814,4.1696,0,0,0,0,3.44661,5.75686,4.17014,0.000102507,0.000102507,0.000102507
16,828.972,3.51357,5.66811,4.15824,0,0,0,0,3.44437,5.75763,4.16952,0.000101329,0.000101329,0.000101329
17,878.174,3.53221,5.64839,4.14747,0,0,0,0,3.44155,5.759,4.16735,0.00010015,0.00010015,0.00010015
18,927.343,3.60085,5.66905,4.13954,0,0,0,0,3.43874,5.75912,4.16418,9.89723e-05,9.89723e-05,9.89723e-05
19,978.268,3.52841,5.6448,4.13463,0,0,0,0,3.43378,5.75982,4.15992,9.77942e-05,9.77942e-05,9.77942e-05
20,1030.13,3.52535,5.67372,4.13886,0,0,0,0,3.42242,5.75927,4.15284,9.66161e-05,9.66161e-05,9.66161e-05
21,1082.48,3.48976,5.64144,4.13152,0,0,0,0,3.40837,5.75548,4.14283,9.5438e-05,9.5438e-05,9.5438e-05
22,1134.61,3.53064,5.63374,4.1302,0,0,0,0,3.39045,5.75175,4.13125,9.42599e-05,9.42599e-05,9.42599e-05
23,1185.87,3.50161,5.66946,4.10708,0,0,0,0,3.37349,5.74317,4.11929,9.30818e-05,9.30818e-05,9.30818e-05
24,1236.13,3.49615,5.66067,4.12544,0,0,0,0,3.35333,5.73623,4.10457,9.19037e-05,9.19037e-05,9.19037e-05
25,1286.93,3.51751,5.65533,4.10907,0,0,0,0,3.34315,5.72602,4.09125,9.07256e-05,9.07256e-05,9.07256e-05
26,1337.68,3.49933,5.62506,4.10117,0.00078,6e-05,0.00042,8e-05,3.33636,5.71787,4.08005,8.95475e-05,8.95475e-05,8.95475e-05
27,1387.79,3.45564,5.61414,4.09929,0.00264,0.00494,0.00169,0.00028,3.32975,5.70441,4.07103,8.83694e-05,8.83694e-05,8.83694e-05
28,1439.45,3.45687,5.61233,4.08159,0.00096,0.00293,0.00317,0.00063,3.32468,5.69582,4.05923,8.71913e-05,8.71913e-05,8.71913e-05
