epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.6434,3.54315,5.72408,4.27606,0,0,0,0,3.46357,5.74416,4.1592,8.33e-06,8.33e-06,8.33e-06
2,61.8961,3.54854,5.68622,4.27273,0,0,0,0,3.46365,5.74401,4.15946,1.76733e-05,1.76733e-05,1.76733e-05
3,90.8391,3.5388,5.71613,4.2652,0,0,0,0,3.46337,5.74318,4.15967,2.68281e-05,2.68281e-05,2.68281e-05
4,121.574,3.53973,5.69674,4.26725,0,0,0,0,3.46346,5.74365,4.1599,3.57944e-05,3.57944e-05,3.57944e-05
5,151.374,3.54844,5.67371,4.26994,0,0,0,0,3.46316,5.74417,4.16022,4.45722e-05,4.45722e-05,4.45722e-05
6,180.799,3.51111,5.67456,4.23873,0,0,0,0,3.46239,5.74512,4.16057,5.31615e-05,5.31615e-05,5.31615e-05
7,211.507,3.63045,5.70721,4.21914,0,0,0,0,3.46201,5.74567,4.16085,6.15623e-05,6.15623e-05,6.15623e-05
8,240.148,3.55355,5.69465,4.23003,0,0,0,0,3.4618,5.74654,4.16113,6.97746e-05,6.97746e-05,6.97746e-05
9,270.346,3.58798,5.69407,4.21618,0,0,0,0,3.46127,5.74631,4.16146,7.77984e-05,7.77984e-05,7.77984e-05
10,299.597,3.59722,5.71136,4.2062,0,0,0,0,3.46089,5.74667,4.16157,8.56337e-05,8.56337e-05,8.56337e-05
11,330.852,3.7169,5.67004,4.20006,0,0,0,0,3.46021,5.74744,4.16152,9.32805e-05,9.32805e-05,9.32805e-05
12,361.702,3.59907,5.72972,4.19713,0,0,0,0,3.45942,5.74781,4.16135,0.000100739,0.000100739,0.000100739
13,390.103,3.60643,5.65307,4.19364,0,0,0,0,3.45859,5.74881,4.16082,0.000104863,0.000104863,0.000104863
14,418.32,3.46513,5.68118,4.1768,0,0,0,0,3.45733,5.74938,4.16006,0.000103685,0.000103685,0.000103685
15,446.551,3.60854,5.6421,4.18501,0,0,0,0,3.4562,5.74979,4.15866,0.000102507,0.000102507,0.000102507
16,475.368,3.53601,5.64905,4.17961,0,0,0,0,3.45514,5.74972,4.15671,0.000101329,0.000101329,0.000101329
17,505.258,3.54078,5.62817,4.16384,0,0,0,0,3.45312,5.75067,4.15411,0.00010015,0.00010015,0.00010015
18,534.386,3.61866,5.65425,4.16951,0,0,0,0,3.45107,5.75046,4.15097,9.89723e-05,9.89723e-05,9.89723e-05
19,564.229,3.55749,5.62805,4.15277,0,0,0,0,3.44647,5.74993,4.14737,9.77942e-05,9.77942e-05,9.77942e-05
20,594.687,3.54465,5.65249,4.1486,0,0,0,0,3.43842,5.74693,4.14288,9.66161e-05,9.66161e-05,9.66161e-05
21,625.427,3.51502,5.63128,4.15583,0,0,0,0,3.42971,5.7422,4.13764,9.5438e-05,9.5438e-05,9.5438e-05
22,655.982,3.5326,5.61439,4.14519,0,0,0,0,3.41703,5.73422,4.13073,9.42599e-05,9.42599e-05,9.42599e-05
23,686.591,3.54884,5.64699,4.13898,0,0,0,0,3.4044,5.72769,4.12539,9.30818e-05,9.30818e-05,9.30818e-05
24,714.794,3.4934,5.64127,4.13876,0,0,0,0,3.39587,5.72156,4.11886,9.19037e-05,9.19037e-05,9.19037e-05
25,744.185,3.57543,5.63142,4.12872,0.00029,6e-05,0.00014,6e-05,3.38684,5.7127,4.11637,9.07256e-05,9.07256e-05,9.07256e-05
26,773.612,3.51815,5.59485,4.13233,0.00038,0.00282,0.00027,3e-05,3.3791,5.70061,4.11345,8.95475e-05,8.95475e-05,8.95475e-05
27,802.276,3.46793,5.6061,4.12123,0.00021,0.00282,0.00016,7e-05,3.38277,5.68903,4.11054,8.83694e-05,8.83694e-05,8.83694e-05
28,831.734,3.47261,5.60723,4.11167,0.00069,0.00845,0.00182,0.00023,3.37849,5.6858,4.10634,8.71913e-05,8.71913e-05,8.71913e-05
29,861.152,3.57739,5.58405,4.11168,0.00078,0.01396,0.0008,0.00013,3.37375,5.67538,4.10276,8.60132e-05,8.60132e-05,8.60132e-05
30,890.675,3.56314,5.6067,4.11045,0.00062,0.01078,0.0005,0.00013,3.36489,5.67089,4.10011,8.48351e-05,8.48351e-05,8.48351e-05
31,921.238,3.48759,5.58468,4.11496,0.00063,0.01001,0.00041,0.00013,3.36337,5.66576,4.09558,8.3657e-05,8.3657e-05,8.3657e-05
32,950.054,3.47642,5.59344,4.08844,0.00043,0.00882,0.0008,0.0002,3.35204,5.66153,4.09551,8.24789e-05,8.24789e-05,8.24789e-05
33,981.006,3.3458,5.60434,4.10012,0.00041,0.00893,0.00044,0.00015,3.3387,5.65742,4.08926,8.13008e-05,8.13008e-05,8.13008e-05
